IDStation,NO2
501,45.858606529366
504,31.963951524294064
514,26.261407520561136
517,12.468143258789413
528,33.48927334792546
529,35.795406075638674
531,22.435394663326402
539,27.801897441306835
542,26.096755787016566
544,32.58358319795777
545,13.910391193036935
546,29.53538994727933
548,39.8627052238351
551,20.571848387262932
552,14.983365299774166
554,14.889828255675035
558,22.149613037821336
560,23.035061340671266
561,32.63304760743383
564,14.557404020387766
565,18.6734735176453
569,16.432016151489833
571,7.619641537167014
572,9.906398098030367
573,14.443833895683198
574,31.023118549221504
576,27.12252369432393
583,21.013510132311335
584,31.9399421790211
588,19.547061583058333
592,29.905935293916738
595,12.296959024069132
596,16.192520674395766
598,16.3422731679938
600,25.27171756143473
604,17.4880471316181
606,34.4010359568872
607,16.2940982867317
608,22.355238330173933
609,24.060854641511366
626,12.177530728773766
627,19.411282668327434
629,24.09061139747297
633,16.682651079855102
642,18.430221001197598
643,26.29817751922963
649,26.990091040740598
652,62.5053218723954
654,18.243787174310267
655,19.288819187816234
656,14.441443701422903
657,13.134396440510033
659,15.478712066471667
661,16.678866734010267
663,20.9015582376762
664,18.066381691204935
665,15.589048503026634
669,22.158496037657432
670,15.639051517901331
672,9.509909722553736
673,14.098518883817666
674,32.1539857744995
677,23.148499748842937
679,11.584478888736216
681,8.154891830056753
682,13.454231036742769
683,22.856944444444434
685,14.916912649207033
687,15.106539113076465
690,
693,15.033791394359966
695,14.981966366220867
697,9.478585835359626
703,9.276466132278308
705,29.4337177535583
706,13.141425301901634
708,13.485174417876033
709,13.7380806172703
1264,10.071134749828575
1265,19.39104838709677
1266,15.8605251818145
1269,18.0479748576305
1274,10.779453598129457
1297,13.14886491094259
1374,42.678700908170526
