,IDStation,NOx,Latitude,Longitude,Altitude
0,501,43.68643249098684,45.496316443651,9.19093355531362,129.0
1,504,31.04662319366157,45.5347657650922,9.23610792341164,139.0
2,514,29.136271384630998,45.5234256620035,9.04459987111101,152.0
3,517,12.137395501042299,45.5265508699425,8.73649657837922,141.0
4,528,29.921688480283432,45.4633467406665,9.19532480766886,116.0
5,531,22.225575999313765,45.4836303532325,9.32736003321514,114.0
6,539,44.878431035342196,45.4438576535649,9.16794450174268,115.0
7,542,24.803355975723633,45.6617621918917,9.1566439845516,222.0
8,544,25.248808668044433,45.5510419443724,9.16261365315132,153.0
9,545,18.712386412164765,45.2819561974278,8.98856272679325,100.0
10,546,26.493334955541936,45.4624157911066,8.88021043312557,137.0
11,548,35.98139739331043,45.470499014097,9.19746036011253,118.0
12,551,13.894186821560433,45.5485173574195,8.84732192921626,182.0
13,552,13.584063705720501,45.8369007765555,8.80392612667495,425.0
14,554,14.913684289127835,45.626218960836,9.04006309067821,212.0
15,558,18.5784801978964,45.5828942927177,8.84216545670608,206.0
16,560,21.8129802298596,45.8169732332637,8.82024070715821,383.0
17,561,23.201266794770202,45.8150428601129,9.06697137484454,202.0
18,564,9.229609689929323,45.808573806923,9.22177920448843,279.0
19,565,14.813547679163067,45.7308367226743,9.12573432702293,369.0
20,569,13.414704573859199,46.1679668122783,9.87014407497457,307.0
21,571,8.878284202214969,46.4695239713258,10.375432759159,1225.0
22,572,13.935509431866,46.1322829600037,9.56617989398447,262.0
23,573,15.164149321154033,46.1381409051264,9.38468724765179,229.0
24,574,31.297031063321402,45.8501911945785,9.39557706689322,214.0
25,576,24.586280969752234,45.6979519897024,9.4061909386866,279.0
26,583,15.706652269573732,45.6910374054721,9.64365057946138,249.0
27,584,22.813182841969702,45.6956803443269,9.66124914606551,249.0
28,588,13.754536976916569,45.7162999241173,10.0447659993684,191.0
29,592,23.181296195046865,45.5193349813872,9.59200999488842,191.0
30,595,14.2250983957495,45.6338645090807,9.55608425579086,190.0
31,596,11.4146432834018,45.6205556793956,9.61173782181237,182.0
32,598,18.5245906007994,45.0819866969786,9.70078817718398,50.0
33,600,24.652928023382334,45.3060129875238,9.48526286320174,80.0
34,604,19.51781494361253,45.3303610018123,9.41464472662726,85.0
35,606,39.80827370290357,45.3961946255272,9.28270007555784,97.0
36,607,22.870574434028768,45.3095022692823,9.58579041612041,64.0
37,608,25.690175286796233,45.1593728023411,9.69814824935254,59.0
38,609,13.913811325387366,45.4982271339449,9.55623226235176,108.0
39,626,29.698016873877332,45.2784875547884,10.0062023912043,57.0
40,627,17.648002465158132,45.1319469128517,10.015741513336,39.0
41,629,21.56976542543353,45.3663090781943,9.70394551361317,79.0
42,633,22.855996606073166,45.2839771544676,9.86339841999363,70.0
43,642,22.205862928155966,45.1946760990779,9.16463830063009,77.0
44,643,32.771271645021635,45.1863290804948,9.14666604128678,77.0
45,649,23.214752275390698,45.5400578469714,10.2228184492742,149.0
46,652,54.27821775880043,45.539529434956,10.2317859074772,154.0
47,654,14.235198345510199,45.6496267122407,10.205090218837,269.0
48,655,14.617018407548867,45.8746021098904,10.1773568089814,221.0
49,656,17.0002580215332,45.2495436247462,10.2991194960641,47.0
50,657,10.594681523673467,45.4637531362103,10.4807720435713,180.0
51,659,13.277913141228067,45.6460496337252,10.389295302792,349.0
52,661,20.184941882824564,45.5157082948446,10.3362404229965,147.0
53,663,19.58989728642663,45.145260125789,10.8033259500793,18.0
54,664,23.467628301962502,45.1517433795766,10.7814077000957,18.0
55,665,16.68080259489103,44.9246940495507,10.5175020671178,37.0
56,669,15.490649495747533,45.5130388186538,10.1919418887793,70.0
57,670,16.89230614805533,45.1605683301058,10.7955641137079,22.0
58,672,10.045765049305958,45.0400765720296,8.91414459900241,74.0
59,673,15.3229736960348,44.9995459891403,9.00843738181569,90.0
60,674,32.4023057632894,45.5802634844224,9.27357309271327,162.0
61,677,24.876738340148865,45.1425406322169,10.0438361583694,43.0
62,679,11.254389903297906,45.8422072610225,9.35165816612796,247.0
63,681,5.8143314597350555,45.9127875203029,9.49753816765342,1194.0
64,682,12.637112082648455,45.1135031448296,8.87406484888261,88.0
65,683,31.670144521103737,45.526472545851,9.5159804836271,133.0
66,685,12.413067892658134,45.6904290785451,9.48426092764779,273.0
67,687,11.963418641565433,45.6192437799476,8.75697044545343,215.0
68,693,14.7268170005157,45.1027662768414,8.90417452771467,85.0
69,695,13.204854144788833,45.4127716916863,10.6833573437868,113.0
70,697,11.483830807892417,45.0465015381673,11.1809358191275,14.0
71,703,15.654258713634702,45.0168778207554,11.0760946326405,
72,705,20.89357145988843,45.4789960616874,9.2354910384975,122.0
73,706,13.026669046057899,45.8637488412797,9.39995034468185,272.0
74,708,13.719585075088366,45.2819356103579,8.75433459453983,112.0
75,709,14.821152741700999,45.3036078696557,8.84480460996544,109.0
76,1264,12.698525422027865,46.1678524406651,9.8792099244699,290.0
77,1265,22.891731735114103,45.3027835030958,9.49527369692632,76.0
78,1266,22.907734890555464,45.2334936413037,9.66625037529603,65.0
79,1269,16.614102178826833,45.6497025123625,9.60122333878526,207.0
80,1274,14.434686861786666,46.0158283043838,9.28640920868081,212.0
81,1297,19.116864205850067,45.1504688698568,9.93059647227233,48.0
82,1374,28.89381561080477,45.6012321995514,9.27507265782848,181.0
