,IDStation,PM2.5,Latitude,Longitude,Altitude
0,504,12.309006211180128,45.5347657650922,9.23610792341164,139.0
1,548,11.851321839080464,45.470499014097,9.19746036011253,118.0
2,554,9.534587813620073,45.626218960836,9.04006309067821,212.0
3,560,13.9752688172043,45.8169732332637,8.82024070715821,383.0
4,561,13.675679529962098,45.8150428601129,9.06697137484454,202.0
5,576,10.667816091954014,45.6979519897024,9.4061909386866,279.0
6,583,14.107662835249036,45.6910374054721,9.64365057946138,249.0
7,592,11.116129032258053,45.5193349813872,9.59200999488842,191.0
8,600,8.616129032258064,45.3060129875238,9.48526286320174,80.0
9,609,15.7595238095238,45.4982271339449,9.55623226235176,108.0
10,627,13.2192118226601,45.1319469128517,10.015741513336,39.0
11,633,16.2579289059174,45.2839771544676,9.86339841999363,70.0
12,642,11.65897435897436,45.1946760990779,9.16463830063009,77.0
13,649,10.950414040291696,45.5400578469714,10.2228184492742,149.0
14,655,13.941218637992845,45.8746021098904,10.1773568089814,221.0
15,669,13.900188521156275,45.5130388186538,10.1919418887793,70.0
16,670,9.086766872973756,45.1605683301058,10.7955641137079,22.0
17,672,13.815770609318998,45.0400765720296,8.91414459900241,74.0
18,674,12.870038314176256,45.5802634844224,9.27357309271327,162.0
19,677,16.058188110245933,45.1425406322169,10.0438361583694,43.0
20,681,11.733333333333322,45.9127875203029,9.49753816765342,1194.0
21,685,12.2052380952381,45.6904290785451,9.48426092764779,273.0
22,693,12.739784946236567,45.1027662768414,8.90417452771467,85.0
23,695,11.68888888888889,45.4127716916863,10.6833573437868,113.0
24,697,8.634391534391524,45.0465015381673,11.1809358191275,14.0
25,703,11.5632098765432,45.0168778207554,11.0760946326405,
26,705,12.095632183908032,45.4789960616874,9.2354910384975,122.0
27,706,8.713812050018946,45.8637488412797,9.39995034468185,272.0
28,1264,10.996934865900384,46.1678524406651,9.8792099244699,290.0
29,1265,14.1848350018539,45.3027835030958,9.49527369692632,76.0
30,1269,15.278499278499288,45.6497025123625,9.60122333878526,207.0
31,1297,14.792473118279567,45.1504688698568,9.93059647227233,48.0
